text_num	time	text	label
1	18/01/02 10:10	지금 학사일정 안들어가지나요?	1
2	18/01/02 09:28	cuz if you like the way you look that much oh baby you should go and love yourself	1
3	18/01/02 03:09	강의평가하면서 느낀게 실험이나 실습같은거는 거의 다 조교님들이 하시는데 어떻게 교수를 평가할까요?? 교수님 처음부터 끝까지 얼굴도 못뵌 수업이 있는데... 조교님들 불쌍..	1
4	18/01/02 02:52	남자로서 바라본 페미니즘. 페미니즘을 주창하시는 페미니스트분들이 자주 하시는 말 '공부하세요.'란 말을 듣고 정말 공부를 해봤습니다.페미니즘의 시초는 1900년대 초반 여성해방운동으로부터 시작되었다고 합니다. 여성을 집안일로부터 해방시키고 바깥 생활을 할 기회를 많이 만들자는 취지에서 말이죠.즉, 집에서 집안일은 쉬고 바깥일을 해서 돈도 벌어오고 직장생활도 하자. 이런 의미에서 말이죠.그렇게 시작된 운동이 시대가 변함에따라 환경이 변했고 그에 맞게 현대를 반영하는 오늘날의 페미니즘까지 이르게 되는거죠.자, 그럼 본격적으로 바라보면, 우선 전 1000일이 다 되어가는 취업 준비생 여자친구도 있고 누나도 있고 어머니도 있고 할머니도 있어요. 여러 주변의 여성들의 입장이 되었다고 생각해보면 정말 여성들에게 필요한 부분이 부족한것같아요. 과연, 여성들에게 여성할당, 여성전용OO과 같은것이 필요한지. 그리고 여성들이 원하는게 정말 그러한 것인지. 여자친구를 비롯한 누나, 어머니, 그 외의 다른 여성 친구들 얘기 들어보면 꼭 필요한것이 그건 아닌것같아요.그냥, 남성과 같은 능력을, 혹은 그 이상의 능력을 가졌지만 단지 여성이라는 이유로 차별받지 않는것. 그리고 우리 주변에서 발생하는 흉흉한 일들을 보면 대부분의 표적이 여성이고 일을 저지르는건 남성인 것은 부정할 수 없잖아요. (저도 남자로서 인정하는 부분입니다.) 그러한 위험으로부터 안전할 수 있는것. 이 부분이 정말 필요한것같아요. 그렇다고 모든 남성을 잠재적인 위험인자로 보는것도 문제가 있지만  몇몇 여성분들이 그러한 생각을 하는 원인에 대해 생각해봤으면 해요. 기사나 매체보면, 그리고 통계적으로 봐도 성범죄 피해 비율보면 할 말 없잖아요. 인간은 시각적인 그리고 청각적인 자료에 가장 민감하게 반응하는데 그러한 자료를 보면 제가 여성이라도 그러한 두려움을 안고 있을것같아요. 그런 점에서 봤을때 여성분들이 느끼는 불안함은 어쩌면 당연한것이 아닌가 생각이 드네요.과도하게 느껴질만큼 여성의 권리를 주장하시는 강경한 페미니스트 분들... 그 분들은 왜 그렇게 강경하게 주장하실까의 부분도 생각해봤는데 아마 그 분들도 본인의 주장이 격하다는건 아실것같아요. 다만, 지난 날들동안 직접 겪어오신, 혹은 이전의 세대에서 겪은 불평등을 다시 겪지 않기 위해서 그러시는게 아닌가 하는 생각이 드네요. 마치 협상에서 처럼 말이죠. 협상할때 보시면, 서로가 처음엔 최고의 조건을 부르잖아요. 거기서 조금씩 중첩해서 맞춰나가고... 그런것처럼 격한 주장을 펼치시는 페미니스트분들도 본인이 주장하는 최고의 조건이 관철되기는 힘들다는것은 알지만 그렇게 높은 조건에서 시작해서 맞춰가야 추구하는 최소한의 가치를 지킬 수 있겠다 생각하시는 마음에서 그러시는게 아닌가 생각해봅니다.밤에 잠도 안와서 쓰는 뻘글이지만 단지 성별의 이유로 차별받지 않고 두려움에 떨지 않는 사회가 되었으면 좋겠어요. 서로의 입장을  존중하면서 말이죠. 그런 의미에서 '페미니스트' '페미니즘' '성 불평'등의 낱말이 만들어 진 데에는 그동안 쌓여왔던 불평등과 위협을 대변하는게 아닌가 싶어요.남성, 여성을 떠나서 우리는 모두 안전해야 할 의무와 권리가 있고 능력에 맞는 대우를 받을 권리와 의무가 있잖아요?	1
5	18/01/02 02:18	방학에 단기 어학연수 정보는 어디서 알아볼 수 있나요? 학교에서 방학에 단기로 교환학생?어학연수?보내주는 프로그램에 참여하고 싶은데요. 어디서 정보를 구해야하는지 잘 모르겠어서요ㅜ 어디서 알 수 있나요? 조건이 많이 까다롭나용..?	1
6	18/01/02 00:08	복전부전신청기간 복전 신청하려고 하는데 신청기간이 언제인가요? 학사일정에는 안뜨네요과사에 전화해서 물어보려면 전공과에 물어봐야하나요 아님 복전할 과에 물어봐야하나요?	1
7	18/01/01 23:41	원룸 채광 많이 중요한가요? 기숙사 생활 청산하고 원룸 들어왔는데넓고 마음에 쏙 드는데 한가지 단점이 있다면 채광이 좀 부족해요자취러 선배님들 경험상 채광 많이 중요하나요?	1
8	18/01/01 22:19	계절 중간고사 중간고사 언제쯤치나요??다음주 월요일쯤에 치겠죠...??아닌가용??	1
9	18/01/01 21:27	20대초반 20대초반에 꼭 해봐야할것 좀 알려주세요. 20대 중,후반에는 못하는거요.	1
10	18/01/01 21:21	방학때도 학교도서관하쥬? 책빌릴수있쥬?	1
