text_num	time	text	label
1	05/20 08:31	돈 어떻게든 벌고 먹고 살게 될까?정말 모으는건 못하더라도하루라고 벌어서 먹고살려고 하겠지?	1
2	05/20 08:31	실시간강의 한번 빠지면 타격클까..? 다른 사람들은 거의 다 참여하니까 ㅇㅇ	1
3	05/20 08:29	하루에 시작은 쉬운 과제로 시작해야 했다. 시작부터 어려워서 이해 안되니까 하루 날리고 싶어지네. 개빡쳐ㅜ	1
4	05/20 08:28	오늘 반팔 입으면 추운가요??	1
5	05/20 08:15	부대 엘부리또 사라짐...? ㄹㅇ?	1
6	05/20 08:14	머야 오늘부터 고등학생 학교감? 우르르 나오길래 깜짝 놀람	1
7	05/20 08:04	오늘 류수정 솔로앨범 나온다 너무설레 ㅠㅠㅠㅠ노래 벌써 좋다,,,	1
8	05/20 08:03	철야했다 새벽에 과제할려고 플라토 기다리다가플라토 서버 ㅆ	1
9	05/20 07:45	동북아시아문화교류의역사 ㅇㅇㅊ 교수 강의영상 일절없이 피피티만올리는데 이거 맞는거냐? 과제도없고	1
10	05/20 07:22	플라토 드디어 복구 어우 살았다	1
11	05/20 07:22	아직도 아린 구구단을 못 본 사람이 있으면 당장 보세요... ㅠㅠㅠ	1
12	05/20 07:18	시계 추천해주세요 1,2 는 짭데마 피게라 불리는 모리스 라크로와 아이콘3운 스토바 플리거4는 스토바 안테아5는 스토바 마린에디션입니다가끔씩 이거 살돈으로 태그 면세사라는분들 있는데 태그는 졸업후에 모나코 사려구여	1
13	05/20 07:18	플라토 복구됐네? 터졌대서 오늘 수업 다 날릴 각오하고 있었는데안 날려도 되겠다 휴	1
14	05/20 07:09	이거 팩트인가요? 물리학과가면 수학만 배우고...화학과가면 물리만 배우고...생물학과가면 화학만 배우고...	1
15	05/20 07:07	모바일 리니지 버전 추천좀 무과금~핵소과금으로 가볍게 즐길예정인데제일 최신버전이 2m인거 같은데 뭐할까여	1
16	05/20 07:04	오늘 고3들 등교함 아무일.없어라 ㅠ	1
17	05/20 06:56	부산대 근처 간장게장 무한리필집 있지 않나요? 저번에 잠깐 부산대 시내 갔을때 스쳐지나갔던것 같은데제 착각이였을라나요?오늘 간장게장 너무 먹고싶은데	1
18	05/20 06:55	플라토가 플라토 해버렸다 에러다아아아ㅏㅏㅏㅏㅏㅏㅏ 에러야아아ㅏㅏㅏㅏ	1
19	05/20 06:53	아린이 아린이가 나라다 ㅠㅠ	1
20	05/20 06:39	라식한 사람들 이번에 페북에 하늘안과 부산대 제휴맺어서 할인한다해서 16일날 라식했단 말야. 라식이라서 라섹보다 회복기간 빠르다해서 금방 잘 보인다고 해서 금방 잘 보일줄 알았거든. 근데 분명 선명히 보이긴하는데 자꾸 초점 나가면서 글자가 잘 안읽히고  뿌옇게 보이고 그러네ㅠㅠ 혹시 나만 그런가? 해서 라식한 사람들 후기 좀 알려주라 금방 괜찮아질까?	1
21	05/20 10:22	홍콩 DSE  역사 문제로 나온 1900-1945년 까지의 기간동안 일본이 중국에게 가져다준  '폐단 보다 이익이 큰 문제'에 대해 서술하라.	1
22	05/20 10:20	다이어트 합시다 키스 갈기고싶네 인..직	1
23	05/20 10:19	아보카도먹고싶은데 학교앞에 섭웨말고 먹을곳있나염??	1
24	05/20 10:17	열사표 책 내일 까지만 빌려줄사람ㅠㅠ 커피살게 스벅까지도 ㅆㄱㄴ임	1
25	05/20 10:12	전공수업 일주일2번 결석 3번인데 시험잘챠도 b불가능..??	1
26	05/20 10:08	고토 토론 수준 어느정도 인가요? 저만 독보적으로 못할것같아서 걱정돼요	1
27	05/20 10:04	글영 면제 하신뷴? 성적 제출기간이랑 제출방법이 어케되나여????	1
28	05/20 10:02	도서관 책 연체 연체 한달정도 되면 3천원 내는거야ㅠㅠ? 또 불이익잇으려나	1
29	05/20 09:56	하이볼 파는 곳 어는 사람 ㅠㅜ 봉구비어에서 먹었었는데 너무 멀어용,,	1
30	05/20 09:55	여자친구 엄지 진짜 진짜 예뻐졌다 깜짝놀람	1
31	05/20 09:53	영어회화 부전공 영어영문하는 16인데 영어회화는 일선넘어간댔는데, 중급영어회화는 해당사항아닌 부전공으로 인정되는 과목이죠?	1
32	05/20 09:41	송퍼 연습문제 업로드 톡방vs플라토 투표결과는 당연히 톡방교수님 한마디'ㅋ 왜 플라토가 아닌 단톡방이 나왔을까요?' 어쩌라는건지~~	1
33	05/20 09:36	보통 인턴 몇학년 몇학기에 하나요?? 상경계 경우요!	1
34	05/20 09:31	후 물리학 학점 조졌다 어떻게 과제 푼 것 중에 정답이 없누고등학교때 물1좀 열심히 봐둘껄	1
35	05/20 09:13	복사 usb 부대 근처에 복사하는곳 어디에 있나요?? usb없이 메일로 보내도 복사해주시나요??	1
36	05/20 09:11	아빠 색약이신가 문득 저번에 주황색 펜 보고 연두색이라고 했던 거 같은데 지금 와서 다시 생각나네	1
37	05/20 09:07	생물시험이 기말고사에요?????	1
38	05/20 09:01	다벤티 음료 추천쫌!!!	1
39	05/20 08:55	엔씨에 스시오망했나요?? ????	1
40	05/20 08:48	노트북열람실 아닌 일반 열람실에서는 노트북 아예 사용 금지인가요? 소리 안내고 그냥 ppt 자료 보기만 할 간데..아무래도 안 되겠죠?	1
